word,type,translation,synonym,context,comment,sentence
a slap on the wrist,,une tape sur les doigts,,clare about racism and statistics,,
attuned,adj,en accord / à l’unisson,sensitized / aware,clare,,babies are attuned to their mothers' voices.
barrow,n,brouette,pushcart,clare,,joe pushed his barrow wearily up the hill to the market place.
bias,n,parti pris,viewpoint,clare about racism and statistics,,his bias for attractive employees was obvious.
burying your head in the sand,,autruche,ostrich,clare about racism and statistics,i disagreed,
cabbage,n,chou,vegetable,paul lunch,uncountable,rita served pork and cabbage for dinner.
celery,n,céleri,vegetable,paul lunch,,
citizenship,n,citoyenneté / nationalité,membership in a country,clare,,
contingency,n,chance / aléa / hasard,chance uncertainty,paul sketch with mr bean on belgium food,,"We have to make sure our plan covers everything, we can't leave anything to contingency."
convenient,adj,pratique / commode,useful,clare about racism and statistics,,
coriander,n,coriandre,seed,paul lunch,,
count,n,comte,nobleman,paul sketch with mr bean on belgium food,,
curb,n,trottoir,edge of a sidewalk,clare,kerb in uk,
dill,n,aneth,aromatic herb,paul lunch,,they served us salmon in a lemon sauce with dill.
disgusting,adj,dégoutant,repugnant / repellent,paul sketch with mr bean on belgium food,,
era,n,époque,epoch,clare,,
flabbergated,adj,pantois,gobsmacked (uk slang),emma presentation / article with cows,,We were just flabbergasted when we saw how much the repairs cost.
give someone a lift,,conduire qqn,to drive someone to a particular location,clare,,
give someone a ride,,conduire qqn,to drive someone to a particular location,clare,,
grid system,,grille,,clare about her future town,,
gripping,adj,captivant / serrer / tenir,demands attention,clare,,The gripping performance made the actor famous overnight.
increasingly,adj,de plus en plus,more and more,emma presentation / article with cows,,The runner got increasingly tired as he ran.
indeed,adv,en effet,certainly,paul sketch with mr bean on belgium food,uk – eh bien,"Yes indeed, I do plan to eat out tonight."
jealous of,adj,jaloux / envieux,resentful of / envious of,clare about canadians,,
liable,adj,responsible,legally responsible,paul,be liable for,"I'm happy to install the update on your computer, but if anything goes wrong, I won't be liable."
narrow,adj,étroit,not wide,clare,,The narrow road made passing other cars difficult.
page turner,n,livre captivant,cliff hanger,clare,,This novel is a real page-turner.
parsley,n,persil,aromatic herb,paul lunch,,
quaint,adj,original / bizarre / étrange,strange / curious,paul sketch with mr bean on belgium food,Other meaning : old-fashioned but charming,Dorothy had rather quaint manners
risk,n,risque,hazard,clare,,
see the strings,,voir les ficelles,,clare about racism and statistics,,
sickness,n,maladie,illness / disease,emma presentation / article with cows,julie is afflicted with a serious illness,All the villagers were suffering from a strange sickness.
small potatoes,n,peccadilles,not a big deal / unimportant,paul sketch with mr bean on belgium food,,Compared to what you did last week this is just small potatoes.
stock,n,action,store of merchandise,clare,,
threat,n,menace,menace / intent to hurt,emma presentation / article with cows,death threat,
be bounded by,v expr,lié moralement,to be morally obliged,paul sketch with mr bean on belgium food,,
belch,vi,roter,to gush out,paul sketch with mr bean on belgium food,,
blow off,vi,péter,to fart,paul sketch with mr bean on belgium food,,
break wind,v expr,péter,to fart,paul sketch with mr bean on belgium food,,
bring up,vtr,évoquer / parler de,to raise a subject,paul sketch with mr bean on belgium food,,
construe,vtr,interpréter / exprimer,to interpret,paul sketch with mr bean on belgium food,,
drop,vtr,faire tomber,let fall intentionally,paul sketch with mr bean on belgium food,,
end up,vi phrasal,se retrouver / finir,to arrive somewhere / become,clare,,
giggle,vi,glousser,to laugh,clare,,
hunch,vi,se recroqueviller,to bend over,clare,,
praise,vtr,louer / encenser,speak highly of,paul sketch with mr bean on belgium food,,
prize,vtr,attacher beaucoup de valeur à,find important,paul sketch with mr bean on belgium food,,
treat,vtr,soigner,be a cure for,emma presentation / article with cows,,
welsh,n,gallois,,clare !,,
stipend,n,traitement / salaire,payment to clergy :|,clare the awkward lesson,,
i wasn’t supposed to touch anything,,je ne devais rien toucher,i can’t get any help,clare the awkward lesson,,
inflation,n,inflation / gonflage,rise in prices / act of filling with air,clare the awkward lesson,,
benefits,n,avantage / bénéfice,advantage,clare the awkward lesson,,
patronising,adj,condescendant,condescending,clare the awkward lesson,,
infantilising,adj,infantilisant,treat like child,clare the awkward lesson,,
carrot or the stick,,la carotte ou le baton,,clare the awkward lesson,,
your own writing,,de ta blanche main,,clare the awkward lesson,,
tweet,n,pépiement / gazouillement,chirping sound of bird,clare the awkward lesson,,
pride of lions,,groupe de lions,,clare the awkward lesson,,
murder of crows,,groude de corbeaux,,clare the awkward lesson,,
herd of cows,,harde de vaches,,clare the awkward lesson,,
pack of wolves,,meute de loups,,clare the awkward lesson,,
swarm of bees,,essaim d’abelles,,clare the awkward lesson,,
locust,n,sauterelle,grasshopper,clare the awkward lesson,,The field was devastated by a swarm of locusts.
